source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S011,"Пиксель Плюс","service_page","Пиксель Плюс","GEO-продвижение бренда в ответах ИИ","https://pixelplus.ru/geo/","","2026-09-18","primary","owned","active","GEO-практика, отраслевые рейтинги нейровидимости, недвижимость"
S012,"Пиксель Плюс","portfolio","Пиксель Плюс","Кейсы SEO-продвижения сайтов недвижимости","https://pixelplus.ru/portfolio/prodvizhenie_sajtov/nedvizhimost/","","2026-09-18","primary","owned","active","Отраслевой SEO-корпус недвижимости"
S013,"Пиксель Плюс","research_article","Пиксель Тулс","Спрос на покупку квартир 2022–2026 и стратегия SEO недвижимости","https://tools.pixelplus.ru/news/padenie-sprosa-na-pokupku-kvartir-2026","2026","2026-09-18","primary","owned","active","Связь SEO недвижимости и GEO"
S014,"Пиксель Плюс","product_update","Пиксель Тулс","Источники нейросетей с веб-поиском","https://tools.pixelplus.ru/news/v-istochnikah-i-reytinge-istochnikov-poyavilis-modeli-s-veb-poiskom","2026-06-17","2026-09-18","primary","owned","active","Мониторинг источников ChatGPT, Алисы, Gemini и других"
S015,"Kokoc Performance","methodology_article","Kokoc Performance","GEO/AEO: как продвигаться в нейросетях","https://kokoc.com/blog/chto-takoe-geo-aeo-i-kak-pravilno-prodvigatsya-v-neyrosetyakh/","2026-06-29","2026-09-18","primary","owned","active","GEO как надстройка над SEO"
S016,"Kokoc Performance","geo_case","Kokoc Performance","Видимость бренда в ответах нейросетей выросла в 4,9 раза","https://kokoc.com/keysi/vidimost-brenda-v-otvetakh-neyrosetey-vyrosla-v-5-raz-keys-po-geo/","2026","2026-09-18","primary","owned","active","Измеримый GEO-кейс"
S017,"Kokoc Performance","seo_case","Kokoc Performance","SEO-кейс московского девелопера","https://kokoc.com/keysi/uderzhatsya-na-plavu-kogda-mnogie-tonut/","","2026-09-18","primary","owned","active","SEO коммерческой недвижимости"
S018,"Kokoc Performance","industry_page","Kokoc Performance","Продвижение сайтов агентств недвижимости","https://kokoc.com/otraslevye-resheniya/prodvizhenie-sajtov-agentstv-nedvizhimosti/","","2026-09-18","primary","owned","active","Отраслевая SEO-методика и репутационный контент"
S019,"Bquadro","service_page","Bquadro","GEO-продвижение сайта в нейросетях","https://bquadro.ru/services/complex_marketing/geo-prodvizhenie/","","2026-09-18","primary","owned","active","GEO строится на SEO-фундаменте"
S020,"Bquadro","integrated_case","Bquadro","SEO и GEO для LT Robotics","https://bquadro.ru/portfolio/prodvizhenie/seo-i-geo-lt-robotics/","","2026-09-18","primary","owned","active","Интегрированный SEO+GEO-кейс"
S021,"Bquadro","real_estate_case","Bquadro","Продвижение застройщика ГК Победа","https://bquadro.ru/portfolio/prodvizhenie/prodvizhenie-zastroyshchika-gk-pobeda/","","2026-09-18","primary","owned","active","CJM и маркетинг девелопера"
S022,"Demis Group","service_page","Demis Group","GEO-продвижение сайтов","https://www.demis.ru/services/geo-prodvizhenie-saytov/","","2026-09-18","primary","owned","active","SEO+PR+репутация, нейрометрики"
S023,"Demis Group","industry_page","Demis Group","Продвижение сайтов недвижимости","https://www.demis.ru/services/otraslevaya-ekspertiza/prodvizhenie-saitov-nedvizhimosti/","","2026-09-18","primary","owned","active","Несколько SEO-кейсов недвижимости и застройщиков"
S024,"Demis Group","methodology_article","Demis Group","Продвижение сайта в нейросетях: требования ИИ","https://www.demis.ru/articles/prodvizhenie-sayta-v-neyrosetyakh-trebovaniya-ii-k-optimizatsii/","2026-05-14","2026-09-18","primary","owned","active","Методология AI-оптимизации"
S025,"Скобеев и Партнеры","service_page","Скобеев и Партнеры","GEO-продвижение","https://skobeeff.com/uslugi/geo-prodvizhenie/","2026","2026-09-18","primary","owned","active","GEO+SEO, пул промптов, внешние упоминания, мониторинг"
S026,"Скобеев и Партнеры","geo_case","Скобеев и Партнеры","Как за 12 месяцев увеличить упоминания сайта в AI-ответах в 60 раз","https://skobeeff.com/blog/kak-za-12-mesyatsev-uvelichit-kolichestvo-upominaniy-sayta/","2026-07-14","2026-09-18","primary","owned","active","Измеримый GEO-кейс"
S027,"Скобеев и Партнеры","industry_page","Скобеев и Партнеры","Продвижение строительных сайтов","https://skobeeff.com/uslugi/prodvizhenie-stroitelnih-saytov/","","2026-09-18","primary","owned","active","SEO строительной тематики"
S028,"IT-Agency","service_page","IT-Agency","Продвижение в нейросетях GEO/AIEO","https://www.it-agency.ru/services/geo/","","2026-09-18","primary","owned","active","GEO-направление"
S029,"IT-Agency","industry_page","IT-Agency","Комплексный интернет-маркетинг для недвижимости","https://www.it-agency.ru/industries/real-estate/","","2026-09-18","primary","owned","active","10 клиентов, 16 проектов, SEO недвижимости"
S030,"IT-Agency","seo_page","IT-Agency","SEO","https://www.it-agency.ru/services/seo/","","2026-09-18","primary","owned","active","SEO-практика и аналитика"
S031,"ipos.digital","service_page","ipos.digital","GEO-оптимизация: AI SEO","https://ipos.digital/geo_prodvizhenie_ai","","2026-09-18","primary","owned","active","GEO/AISEO/AEO, внешние источники, мониторинг"
S032,"ipos.digital","geo_cases","ipos.digital","Кейсы GEO","https://ipos.digital/cases/geo","","2026-09-18","primary","owned","active","Измеримые GEO и SEO кейсы"
S033,"Рынок","independent_ranking","Рейтинг Рунета","GEO/AEO-агентства с опытом в недвижимости 2026","https://ratingruneta.ru/geo/real-estate/","2026","2026-09-18","secondary","independent","active","Market recall и внешнее подтверждение отраслевого опыта"
S034,"PRIMO Agency","service_page","PRIMO Agency","GEO для недвижимости","https://primo.agency/prodvizhenie-v-nejrosetyah/dlya-nedvizhimosti","","2026-09-18","primary","owned","active","Buyer scenarios, агрегаторы, обзоры ЖК, мониторинг"
S035,"PRIMO Agency","seo_page","PRIMO Agency","SEO для сайтов недвижимости","https://primo.agency/seo-prodvizhenie/nedvizhimost","","2026-09-18","primary","owned","active","Отраслевая SEO-методика"
S036,"Idea-Promotion + PENA","service_page","Idea-Promotion","GEO-продвижение сайта под AI","https://idea-promotion.ru/service/geo-ai/","","2026-09-18","primary","owned","active","GEO как дополнение к SEO"
S037,"Idea-Promotion + PENA","real_estate_case","Idea-Promotion","Кейс застройщика","https://idea-promotion.ru/portfolio/2917/","","2026-09-18","primary","owned","active","SEO и лидогенерация застройщика"
S038,"Вебпрактик","real_estate_case","Вебпрактик","4600 лидов на покупку квартир: кейс СК10","https://webpractik.ru/cases/marketing/sk10","","2026-09-18","primary","owned","active","Сильная практика девелопмента и buyer journey"
S039,"SEMANTICA","portfolio","SEMANTICA","Кейсы по продвижению","https://semantica.in/cases","","2026-09-18","primary","owned","active","Кейс застройщика и недвижимость; GEO-корпус слабее"
S040,"IQ Online","seo_case","IQ Online","SEO-продвижение сайта застройщика Меридиан","https://iq-adv.ru/case/seo-prodvizhenie-sayta-zastroyshchika-meridian/","","2026-09-18","primary","owned","active","SEO: трафик, лиды, продажи и ROMI"
S041,"IQ Online","industry_page","IQ Online","Маркетинг для недвижимости и девелоперов","https://iq-adv.ru/develop/","","2026-09-18","primary","owned","active","Отраслевая практика недвижимости"
S042,"Рынок","independent_ranking","Workspace","Рейтинг SEO-компаний для сферы недвижимости 2026","https://workspace.ru/rating/seo-companies/realty/","2026","2026-09-18","secondary","independent","active","Market recall и независимое подтверждение SEO недвижимости"
S043,"Исследование","prior_publication","Sostav","Рейтинг ТОП-15 подрядчиков по SEO и GEO-продвижению недвижимости","https://www.sostav.ru/blogs/292167/102581","2026-08-20","2026-09-18","secondary","independent_platform","active","GAEO-T013: provenance, старые места не переносятся"
S044,"Исследование","related_research","IndexResearch","GEO-продвижение ЖК при закрытой ИТ-инфраструктуре","https://github.com/IndexResearch-ru/geo-real-estate-russia-2026","2026-09-16","2026-09-18","secondary","internal","active","INDEX-T002, другой research question"
